8084	54	4,5,6,7,8
16715	29	4,5,6,7,8
15201	23	5,6,7,8,9
46046	23	1,2,3,4,7
178340	22	19,20,25,26,27
47691	20	4,5,6,7,8
187045	20	1,2,5,6,7
12480	20	4,5,6,7,8
187584	19	12,14,15,16,17
121992	16	11,12,13,14,15
25823	13	3,4,7,10,11
41425	12	1,2,3,7,11
46825	11	12,13,14,15,16
44116	10	14,15,26,27,55
25964	10	5,6,7,8,11
27451	9	4,5,6,7,8
43436	9	17,19,20,21,22
70718	9	4,6,7,8,9
37570	8	2,4,10,13,14
187033	8	7,8,10,17,20
110816	7	12,13,16,17,18
122679	7	5,7,16,17,18
121488	7	51,55,57,64,65
125717	7	4,5,6,7,8
173114	6	13,21,25,26,30
131335	6	10,11,24,30,33
14703	6	20,21,23,25,29
168109	6	8,9,10,13,16
124984	6	7,13,14,17,19
179427	6	30,32,33,34,35
186195	6	15,26,27,28,30
130999	6	21,22,23,24,28
163051	6	22,32,33,34,37
46956	6	13,14,15,16,17
26351	5	52,74,75,76,84
121581	5	7,14,17,23,24
96237	5	1,2,9,13,14
177139	5	16,19,24,25,26
143384	5	9,26,30,37,38
186599	5	14,15,16,24,25
26913	5	11,12,13,15,16
136179	4	1,4,5,7
177582	4	1,2,4,5
161034	4	27,34,55,63
140296	4	11,12,13,14
43235	4	8,9,22,28
96239	4	9,17,21,22
186570	4	14,15,28,43
104529	4	10,13,14,15
117409	4	55,56,57,61
26350	3	1,2,3
37056	3	1,2,3
140306	3	3,11,13
111576	3	64,68,95
28055	3	15,16,17
72597	3	14,27,28
57339	3	12,13,14
26349	3	33,60,76
116453	3	4,69,72
128853	3	13,15,22
46840	3	32,33,40
186852	3	27,40,41
128293	3	2,9,10
41224	3	2,4,5
122844	3	2,3,6
187419	3	11,12,14
27723	2	14,15
159098	2	1,4
30676	2	7,21
177682	2	21,28
104465	2	16,17
120721	2	12,14
116882	2	7,8
127880	2	1,2
37793	2	9,12
36675	2	5,21
141627	2	2,3
166520	2	6,7
170780	2	39,40
170446	2	105,107
91806	2	29,66
113443	2	10,12
130255	2	13,24
37789	2	16,23
113086	2	32,33
151580	2	1,2
27480	2	49,55
37662	2	5,6
104460	2	10,11
28021	2	39,46
149110	2	20,38
37044	2	57,58
19935	2	2,3
44163	2	4,13
24161	2	61,70
149237	2	21,23
27532	2	4,5
136089	2	14,22
26839	2	1,2
142743	2	8,24
30458	2	4,54
46044	2	11,19
124417	2	16,21
104349	2	14,15
155020	2	4,11
91876	2	13,18
187035	2	10,19
6157	2	273,339
133041	2	7,8
46298	1	4
139237	1	16
56690	1	40
92234	1	8
19407	1	1
19319	1	18
122711	1	21
105555	1	58
142555	1	1
125716	1	6
116330	1	11
97221	1	11
186702	1	2
136384	1	46
14077	1	17
19758	1	15
110036	1	2
27533	1	12
12190	1	6
70501	1	19
127370	1	54
145834	1	2
14749	1	44
25903	1	5
23102	1	4
125394	1	10
122601	1	47
156137	1	14
142227	1	16
27790	1	2
18133	1	19
110932	1	20
16232	1	26
92671	1	7
71581	1	23
26157	1	47
128763	1	5
187888	1	1
22137	1	22
50001	1	12
6153	1	15
26097	1	2
110297	1	1
30387	1	2
f6e54110-4b5c-11f1-8c06-b5d7fb756254	1	1
26154	1	7
92857	1	7
187809	1	1
126403	1	1
27826	1	14
134232	1	10
159697	1	12
94691	1	30
123515	1	9
125390	1	2
146606	1	34
47465	1	3
175646	1	6
25288	1	11
154590	1	4
65788	1	3
70599	1	3
22415	1	1
6037	1	2
44378	1	24
71440	1	23
122529	1	12
111590	1	11
153939	1	16
87106	1	16
186436	1	3
49dbc120-73a6-11f1-bd8b-1f903319181c	1	23
24501	1	1
7260	1	2
24935	1	2
31731	1	4
1264	1	4
14938	1	24
137583	1	3
39863	1	5
171622	1	21
123255	1	129
128068	1	5
1150	1	3
111146	1	3
98997	1	10
9072	1	2
11729	1	18
7054	1	1
5904	1	12
129499	1	16
150063	1	2
186316	1	2
21865	1	2
42652	1	1
44407	1	3
519078d0-6f77-11f1-b3cf-976d208cff1d	1	7
3894	1	3
183860	1	1
20920	1	1
25416	1	36
23631	1	5
122433	1	47
26798	1	9
107910	1	3
37973	1	15
59908	1	17
ebde45c0-5e60-11f1-8fbf-fba9197f5741	1	4
32592	1	10
94444	1	26
35591	1	26
12189	1	8
27863	1	23
142049	1	10
26347	1	13
173920	1	2
43259	1	15
167281	1	1
123155	1	12
27633	1	2
26738	1	3
26865	1	11
33558	1	10
122435	1	8
11497	1	11
23638	1	3
27012	1	14
27112	1	27
129117	1	9
140314	1	24
174894	1	18
41151	1	2
137727	1	29
111124	1	5
150158	1	3
