# doc_id	method	coverage	matched/total — below threshold, need a look
147065	id	0.00	0/16
14804	marker	0.42	5/12
14965	marker	0.40	2/5
150956	marker	0.26	7/27
15201	marker	0.04	4/94
1523	marker	0.39	7/18
15414	marker	0.00	0/5
15427	marker	0.33	1/3
1545	marker	0.44	14/32
15550	marker	0.43	10/23
15624	marker	0.05	1/22
15635	marker	0.12	1/8
15675	marker	0.42	19/45
157553	marker	0.36	4/11
15880	marker	0.00	0/7
15881	marker	0.00	0/7
158833	marker	0.33	1/3
15936	marker	0.26	12/47
16013	marker	0.20	1/5
16070	marker	0.03	50/1779
16089	marker	0.00	0/11
16106	marker	0.12	1/8
16159	marker	0.33	2/6
16213	marker	0.40	44/110
1623	marker	0.35	9/26
16254	marker	0.49	114/233
16270	marker	0.29	65/228
163761	id	0.00	0/237
16512	marker	0.38	13/34
166456	marker	0.43	6/14
16648	marker	0.18	3/17
166583	marker	0.11	184/1608
16683	marker	0.28	68/247
16715	marker	0.02	3/145
16731	marker	0.26	24/91
16804	id	0.00	0/14
168090	marker	0.44	17/39
16821	marker	0.43	3/7
16930	marker	0.18	50/281
16936	marker	0.21	3/14
16955	marker	0.14	36/262
169662	id	0.00	0/31
17095	marker	0.13	2/15
17136	marker	0.28	5/18
172466	id	0.00	0/42
173067	marker	0.32	27/85
17310	marker	0.14	1/7
17316	marker	0.02	47/2487
17329	id	0.25	1/4
17361	marker	0.48	132/276
17365	marker	0.00	0/9
17404	marker	0.00	0/5
17466	marker	0.23	22/97
174705	id	0.00	0/397
17481	marker	0.35	21/60
17529	marker	0.35	9/26
17570	marker	0.43	13/30
17615	marker	0.35	28/80
17655	marker	0.34	12/35
178340	id	0.00	0/507
17839	marker	0.00	0/14
178434	id	0.00	0/122
178517	marker	0.11	1/9
178650	marker	0.00	0/24
179084	marker	0.00	0/9
1808	marker	0.29	13/45
18128	marker	0.02	70/2979
1815	marker	0.17	2/12
181541	marker	0.04	3/75
1818	marker	0.16	27/171
181972	marker	0.00	0/6
181988	marker	0.24	25/103
18207	marker	0.44	11/25
1822	marker	0.48	40/83
18271	marker	0.00	0/7
18274	marker	0.40	2/5
18280	marker	0.12	1/8
18312	marker	0.33	16/48
1832	marker	0.28	12/43
18343	marker	0.00	0/6
18369	marker	0.00	0/7
18370	marker	0.15	11/72
18402	marker	0.00	0/1
18460	marker	0.33	3/9
18579	marker	0.39	20/51
18585	marker	0.20	3/15
18638	marker	0.47	37/78
18708	marker	0.23	18/77
18722	marker	0.00	168/54419
18729	id	0.00	0/348
18735	marker	0.41	125/303
19119	marker	0.12	1/8
19125	marker	0.10	17/165
19128	marker	0.39	15/38
19161	marker	0.30	65/220
19171	marker	0.17	1/6
19217	marker	0.17	30/172
19253	marker	0.44	20/45
19355	marker	0.00	0/2
19357	marker	0.43	3/7
19366	id	0.00	0/30
1940	marker	0.47	9/19
19407	marker	0.04	22/528
19411	marker	0.35	527/1523
19412	marker	0.49	293/596
